timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5
1775495045942,69559.35000000,2.22235000,69558.17000000,0.00008000,69556.51000000,0.23690000,69556.24000000,0.01445000,69554.33000000,0.25114000,69559.36000000,0.17651000,69559.99000000,0.00016000,69564.17000000,0.00016000,69564.18000000,0.22885000,69565.94000000,0.05939000
1775495046047,69559.35000000,2.22251000,69556.53000000,0.28774000,69556.52000000,0.07687000,69556.51000000,0.23698000,69556.24000000,0.01445000,69559.36000000,0.17636000,69559.37000000,0.00008000,69564.17000000,0.00000000,69564.18000000,0.00008000,69565.94000000,0.05939000
1775495046142,69559.35000000,2.22267000,69556.55000000,0.24035000,69556.54000000,0.09209000,69556.53000000,0.00008000,69556.52000000,0.00008000,69559.36000000,0.09881000,69566.42000000,0.22885000,69566.87000000,0.00000000,69568.66000000,0.00016000,69571.93000000,0.00008000
1775495046242,69559.35000000,2.22251000,69556.57000000,0.28205000,69556.56000000,0.07794000,69556.55000000,0.24043000,69556.54000000,0.00016000,69559.36000000,0.05910000,,,,,,,,
1775495046342,69559.35000000,2.22267000,69556.59000000,0.20633000,69556.58000000,0.09039000,69556.57000000,0.28213000,69556.56000000,0.00008000,69559.36000000,0.05760000,69560.00000000,0.00080000,69562.00000000,0.00040000,69563.94000000,0.00025000,69564.00000000,0.00040000
1775495046443,69559.35000000,2.22259000,69556.61000000,0.24771000,69556.60000000,0.06787000,69556.59000000,0.20641000,69556.58000000,0.00008000,69559.36000000,0.05583000,69565.94000000,0.05931000,69576.00000000,0.00120000,69577.53000000,0.00008000,69641.61000000,0.00000000
1775495046543,69565.37000000,3.07983000,69565.36000000,0.00008000,69565.23000000,0.00000000,69565.13000000,0.02490000,69565.12000000,0.08289000,69559.36000000,0.00000000,69559.37000000,0.00000000,69559.85000000,0.00000000,69559.86000000,0.00000000,69559.98000000,0.00000000
1775495046642,69565.37000000,3.08108000,69565.14000000,0.00016000,69565.13000000,0.02498000,69565.12000000,0.08297000,69561.51000000,0.00016000,69565.38000000,3.22702000,69565.39000000,0.00048000,69565.94000000,0.05915000,69566.41000000,0.00000000,69566.43000000,0.00040000
1775495046743,69559.35000000,0.27849000,69555.82000000,0.00008000,69555.59000000,0.01218000,69554.29000000,0.00723000,69552.76000000,0.00008000,69565.38000000,3.22718000,69566.00000000,0.00160000,69566.94000000,0.00144000,69568.00000000,0.00120000,69569.97000000,0.00000000
1775495046843,69565.37000000,3.12846000,69559.35000000,0.23096000,69556.24000000,0.01445000,69545.35000000,0.02000000,69545.17000000,0.02200000,69565.38000000,3.22710000,69565.39000000,0.00040000,69566.00000000,0.00320000,69569.97000000,0.00008000,69578.33000000,0.01437000
1775495046944,69565.37000000,3.12790000,69558.41000000,0.00300000,69556.00000000,0.00000000,69552.39000000,0.20852000,69549.74000000,0.10410000,69565.38000000,3.22670000,69565.39000000,0.00048000,69565.53000000,0.00000000,69568.54000000,0.00008000,69570.75000000,0.00000000
1775495047043,69565.37000000,2.79737000,69559.98000000,0.00300000,69551.59000000,1.72690000,69551.33000000,0.51807000,69537.01000000,0.00000000,69565.38000000,2.82204000,69574.98000000,0.00000000,69644.67000000,0.00000000,69645.44000000,0.00000000,,
1775495047142,69565.37000000,3.18011000,69564.45000000,0.00008000,69561.72000000,0.00300000,69561.51000000,0.00000000,69561.50000000,1.86364000,69565.38000000,2.17224000,69565.39000000,0.00040000,69565.93000000,0.00008000,69565.94000000,0.00024000,69566.43000000,0.00032000
1775495047244,69563.46000000,0.00300000,69561.51000000,0.00000000,69561.50000000,1.86372000,69559.97000000,0.00008000,69559.35000000,0.23048000,69565.38000000,1.55578000,69565.39000000,0.00040000,69565.94000000,0.00016000,69566.43000000,0.00024000,69567.37000000,0.00000000
1775495047342,69565.37000000,3.18143000,69565.12000000,0.08289000,69563.15000000,0.01434000,69561.50000000,1.86364000,69561.49000000,5.75067000,69565.38000000,1.05893000,69572.19000000,0.15873000,69574.76000000,0.23763000,69575.57000000,0.08281000,69577.69000000,0.00000000
1775495047446,69565.37000000,1.86086000,69565.14000000,0.00000000,69565.13000000,0.00008000,69565.12000000,0.00008000,69563.16000000,0.00016000,69565.38000000,2.32256000,69565.39000000,0.00016000,69565.42000000,0.00030000,69567.78000000,0.08281000,69569.47000000,0.00000000
